lon,lat,weight
-71.9177,19.9496,13.3271
-69.6246,19.5497,11.8986
-95.6925,19.0113,18.395
-72.318,18.0051,18.1016
-72.3174,18.0257,11.3763
-72.5573,17.9156,10.5646
-87.3029,16.0193,13.641
-88.2556,15.9986,17.9213
-84.2296,15.9916,44.8551
-88.1742,15.9789,20.3401
-82.9795,14.9407,80.5878
-83.265,12.8722,49.046
-83.5173,12.0291,21.1813
-83.1855,10.4486,14.6409
-73.686,11.4337,14.0073
-73.5929,11.4327,12.3228
-74.4999,11.1787,20.7302
-74.4913,11.1741,40.4631
-61.697,10.4173,27.0199
-75.6677,10.6554,15.0164
-65.819,10.5807,90.4154
-75.8522,10.0668,13.4447
-71.4512,11.1215,40.017
-71.4201,11.1412,38.42
-58.0952,7.0436,44.8682
-57.377,6.5716,13.2068
-57.3674,6.5572,43.3156
-92.8181,18.8037,145.824
-92.7801,18.8141,145.824
-92.8231,18.7751,145.824
-85.6879,16.1844,47.63
-85.7013,16.1871,47.63
-85.6774,16.1288,47.63
-87.7298,16.0545,134.154
-87.7689,16.0505,134.154
-87.7508,16.1077,134.154
-87.762,16.0523,54.7849
-87.7824,16.0613,54.7849
-87.7286,16.0505,54.7849
-88.3148,16.0753,94.7176
-88.3174,16.1091,94.7176
-88.3069,16.0944,94.7176
-76.0668,9.5925,73.7308
-76.0778,9.6314,73.7308
-76.0997,9.5864,73.7308
-77.1491,8.8121,65.8604
-77.0954,8.7712,65.8604
-77.0982,8.7798,65.8604
-58.0754,7.0156,66.5011
-58.0513,7.0343,66.5011
-58.0956,7.0157,66.5011
-57.5094,6.7514,47.5896
-57.4897,6.7104,47.5896
-57.5122,6.7013,47.5896
-56.9772,6.2121,41.4553
-56.9887,6.2319,41.4553
-56.9343,6.2186,41.4553
-88.2415,15.9711,312.507
-88.256,15.9963,312.507
-88.2523,16.0186,312.507
-88.2101,16.0265,312.507
-88.2586,16.0021,312.507
-88.2387,16.0195,312.507
-88.2576,16.004,312.507
-88.2357,16.0161,312.507
-88.2081,15.9686,312.507
-83.3377,10.7907,119.533
-83.3817,10.8243,119.533
-83.3819,10.808,119.533
-83.3594,10.8079,119.533
-83.3534,10.7869,119.533
-83.3817,10.7728,119.533
-83.3513,10.7868,119.533
-83.338,10.783,119.533
-83.3419,10.7901,119.533
-60.4665,8.9618,298.604
-60.5011,8.9398,298.604
-60.474,8.9332,298.604
-60.4731,8.9577,298.604
-60.4625,8.93,298.604
-60.5084,8.9558,298.604
-60.4573,8.9637,298.604
-60.4874,8.9689,298.604
-60.4864,8.9302,298.604
-74.8527,11.2849,618.812
-74.8791,11.3094,618.812
-74.8996,11.2874,618.812
-74.8734,11.2576,618.812
-74.8993,11.3016,618.812
-74.8857,11.2945,618.812
-74.8574,11.255,618.812
-74.8845,11.2583,618.812
-74.8528,11.267,618.812
-74.8881,11.2751,618.812
-74.8673,11.2818,618.812
-74.8743,11.2656,618.812
-74.9055,11.301,618.812
-74.8856,11.2987,618.812
-74.8528,11.2655,618.812
-74.9084,11.2874,618.812
-74.8874,11.2545,618.812
-74.8966,11.2909,618.812
-74.8974,11.2702,618.812
-74.8891,11.2908,618.812
-74.8529,11.2669,618.812
-74.8798,11.2915,618.812
-74.8606,11.2732,618.812
-74.8896,11.2731,618.812
-74.8826,11.2612,618.812
-74.8511,11.2944,618.812
-74.9035,11.3004,618.812
